# Zeit in Sekunden;   Temperatur in Celsius 
1369541661          18.000000 
1369541722          18.062498 
1369541783          18.000000 
1369541844          18.000000 
1369541905          18.062498 
1369541967          18.062498 
1369542028          18.062498 
1369542089          18.062498 
1369542150          18.062498 
1369542211          18.062498 
1369542272          18.062498 
1369542333          18.062498 
1369542395          18.062498 
1369542456          18.062498 
1369542517          18.062498 
1369542578          18.062498 
1369542639          18.062498 
1369542700          18.062498 
1369542761          18.062498 
1369542823          18.062498 
1369542884          18.062498 
1369542945          18.062498 
1369543006          18.062498 
1369543067          18.125000 
1369543128          18.125000 
1369543190          18.062498 
1369543251          18.125000 
1369543312          18.125000 
1369543373          18.125000 
1369543434          18.125000 
1369543495          18.125000 
1369543556          18.125000 
1369543618          18.125000 
1369543679          18.125000 
1369543740          18.125000 
1369543801          18.125000 
1369543862          18.125000 
1369543923          18.125000 
1369543984          18.125000 
1369544046          18.125000 
1369544107          18.125000 
1369544168          18.187502 
1369544229          18.187502 
1369544290          18.187502 
1369544351          18.125000 
1369544412          18.187502 
1369544474          18.187502 
1369544535          18.187502 
1369544596          18.187502 
1369544657          18.187502 
1369544718          18.187502 
1369544779          18.187502 
1369544840          18.187502 
1369544902          18.187502 
1369544963          18.187502 
1369545024          18.250000 
1369545085          18.250000 
1369545146          18.250000 
1369545207          18.250000 
1369545268          18.250000 
1369545330          18.250000 
1369545391          18.250000 
1369545452          18.312500 
1369545513          18.312500 
1369545574          18.312500 
1369545635          18.312500 
1369545697          18.312500 
1369545758          18.312500 
1369545819          18.312500 
1369545880          18.374998 
1369545941          18.374998 
1369546002          18.374998 
1369546063          18.374998 
1369546125          18.374998 
1369546186          18.374998 
1369546247          18.374998 
1369546308          18.437500 
1369546369          18.437500 
1369546430          18.437500 
1369546491          18.437500 
1369546553          18.437500 
1369546614          18.500002 
1369546675          18.500002 
1369546736          18.500002 
1369546797          18.500002 
1369546858          18.500002 
1369546919          18.500002 
1369546981          18.500002 
1369547042          18.562500 
1369547103          18.562500 
1369547164          18.562500 
1369547225          18.562500 
1369547286          18.625000 
1369547347          18.562500 
1369547409          18.625000 
1369547470          18.625000 
1369547531          18.625000 
1369547592          18.625000 
1369547653          18.687498 
1369547714          18.687498 
1369547775          18.687498 
1369547837          18.687498 
1369547898          18.687498 
1369547959          18.750000 
1369548020          18.750000 
1369548081          18.750000 
1369548142          18.750000 
1369548203          18.812502 
1369548265          18.812502 
1369548326          18.812502 
1369548387          18.812502 
1369548448          18.812502 
1369548509          18.812502 
1369548570          18.875000 
1369548631          18.875000 
1369548693          18.875000 
1369548754          18.875000 
1369548815          18.937500 
1369548876          18.937500 
1369548937          18.937500 
1369548998          18.937500 
1369549059          18.999998 
1369549121          18.999998 
1369549182          18.999998 
1369549243          18.999998 
1369549304          19.062500 
1369549365          19.062500 
1369549426          19.062500 
1369549488          19.062500 
1369549549          19.062500 
